1,87,1
1,123,1
1,143,1
1,11,5
1,158,4
2,87,1
2,83,1
2,53,1
2,150,1
2,137,4
3,123,3
3,143,3
3,83,3
3,102,5
3,10,3
3,58,4
4,56,4
4,169,5
4,83,4
4,42,4
4,53,4
4,142,5
5,143,3
5,47,3
5,53,2
5,51,5
5,150,3
5,100,2
6,87,4
6,53,5
6,119,4
6,65,5
6,127,5
6,130,5
7,143,1
7,83,1
7,47,1
7,132,2
7,177,3
7,137,4
8,123,2
8,47,5
8,94,1
8,122,4
8,16,5
8,33,5
9,123,4
9,83,4
9,102,5
9,119,4
9,95,4
9,177,4
10,123,5
10,143,5
10,42,5
10,47,5
10,2,5
10,12,5
11,143,5
11,42,4
11,47,4
11,53,5
11,177,5
11,20,5
12,87,5
12,56,4
12,42,3
12,94,5
12,2,5
12,159,4
13,87,4
13,143,4
13,47,5
13,126,4
13,122,5
13,58,1
14,87,2
14,123,1
14,143,1
14,149,2
14,16,1
14,38,4
15,87,2
15,47,2
15,53,1
15,40,3
15,111,1
16,87,5
16,42,5
16,47,5
16,119,5
16,20,5
16,2,5
17,87,4
17,56,4
17,123,5
17,144,1
17,51,5
17,164,1
18,87,3
18,56,4
18,169,3
18,47,4
18,177,5
18,137,4
19,123,3
19,83,3
19,119,3
19,57,3
19,131,4
19,170,3
20,123,1
20,143,2
20,47,2
20,149,5
20,155,5
20,26,5
21,123,4
21,83,3
21,53,3
21,149,3
21,158,3
21,155,5
22,56,5
22,83,3
22,23,3
22,42,4
22,53,3
23,56,3
23,53,2
23,119,3
23,122,4
23,16,5
23,33,5
24,56,1
24,169,1
24,83,1
24,119,1
24,166,2
24,31,1
25,87,4
25,47,4
25,102,4
25,119,1
25,58,2
25,145,5
26,56,5
26,169,5
26,119,5
26,94,5
26,177,5
26,156,5
27,123,4
27,47,4
27,94,1
27,90,1
27,51,5
27,100,4
28,87,2
28,123,3
28,23,4
28,47,3
28,144,3
28,61,1
29,87,3
29,56,4
29,83,4
29,127,3
29,89,4
29,46,5
30,56,4
30,123,5
30,83,4
30,144,4
30,51,5
30,164,3
31,83,1
31,47,5
31,53,2
31,120,4
31,140,2
31,84,1
32,123,2
32,47,3
32,94,3
32,122,4
32,81,2
32,120,5
33,87,3
33,83,1
33,53,4
33,102,2
33,58,5
33,145,5
34,87,4
34,123,4
34,47,3
34,177,5
34,41,3
34,16,4
35,87,4
35,143,4
35,42,4
35,47,4
35,38,5
35,69,5
36,169,5
36,47,5
36,53,5
36,119,5
36,171,4
37,123,5
37,47,5
37,119,5
37,84,5
37,55,5
37,13,5
38,56,2
38,53,5
38,119,1
38,16,5
38,137,5
38,127,5
39,169,5
39,143,2
39,83,3
39,23,5
39,47,2
39,62,5
40,56,2
40,83,5
40,94,1
40,58,2
40,145,5
41,56,3
41,169,5
41,119,5
41,95,5
41,94,5
41,177,5
42,56,5
42,169,5
42,47,5
42,53,5
42,166,5
43,87,4
43,123,4
43,143,5
43,51,5
43,150,4
43,137,4
44,87,4
44,123,3
44,143,4
44,51,1
44,150,2
44,111,5
45,56,3
45,53,3
45,102,2
45,119,2
45,58,4
45,145,5
46,87,3
46,123,3
46,169,3
46,53,2
46,132,5
46,27,2
47,87,5
47,83,5
47,53,5
47,102,4
47,149,5
47,171,4
48,87,2
48,123,2
48,94,1
48,90,2
48,51,5
48,150,2
49,143,3
49,83,2
49,23,5
49,119,2
49,144,4
49,63,3
50,123,4
50,143,2
50,119,5
50,88,5
50,122,5
50,171,5
51,87,1
51,143,1
51,47,1
51,90,5
51,51,5
51,100,2
52,123,3
52,83,4
52,119,2
52,99,5
52,131,1
52,76,4
53,143,2
53,47,2
53,119,2
53,137,5
53,158,5
53,155,5
54,123,2
54,42,4
54,47,5
54,119,2
54,11,5
54,2,5
55,87,3
55,169,3
55,143,3
55,83,3
55,166,2
55,14,5
56,143,3
56,47,3
56,119,3
56,51,5
56,150,3
56,111,1
57,87,4
57,56,3
57,123,4
57,169,4
57,23,2
57,62,5
58,83,5
58,23,3
58,47,5
58,53,5
58,102,4
58,99,4
59,123,5
59,169,5
59,143,2
60,123,2
60,143,1
60,83,1
60,65,5
60,127,4
60,130,2
61,87,5
61,56,5
61,123,5
61,65,5
61,127,5
61,130,5
62,87,4
62,143,3
62,83,1
